Scenario;IdBar;attVector;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
20;NE;Alpha;0.032132805;0.028234373;0.015746285;-0.022754349;0.012219239;0.006905584;-0.003731971;-0.023768259;0.000323841;0.004787637;0.034512857;0.093039047;0.14677423;0.11987542;0.088236929;0.107207606;0.08768695;0.07554581;0.008330627;0.017906454;0.021205578;-0.018729461;-0.055545843;-0.19020902
1;S;Alpha;0.217933205;0.212014637;0.296201113;0.09393214;0.07470098;0.125546296;0.190105973;0.069737119;0.024524715;0.137919067;0.082573991;0.13198574;0.080654472;-0.004320175;-0.014947368;-0.033140127;-0.159864924;-0.056867521;-0.296664336;-0.263780328;-0.513023529;-0.69851462;-0.4211;-1.977
2;S;Alpha;0.199267181;0.136438456;0.012339596;-0.121800895;-0.272672386;-0.286563889;-0.300909441;-0.383770768;-0.341020279;-0.264161866;-0.122067265;-0.128935829;-0.291262195;-0.250800438;-0.107524123;-0.094053078;-0.16937037;-0.130621795;-0.081904429;-0.059101639;-0.248917647;-0.466549707;0.33;1
3;S;Alpha;-0.096615286;-0.136561544;0.035366736;0.201616704;0.214937092;0.229017593;0.109331407;0.163602524;0.207471483;0.01466941;0.097727952;-0.113787879;0.059235772;-0.079668859;-0.172609649;-0.154469214;-0.086533769;-0.062786325;-0.062750583;-0.09987541;-0.140952941;-0.098432748;-0.73832;-1.40647619
4;S;Alpha;0.026971741;0.016838323;0.095416145;0.098456376;0.123924837;0.157512037;0.151685935;0.135028391;0.058190114;0.059109739;0.126349776;-0.06228877;-0.059485772;-0.072817982;-0.106901316;0.041295117;0.044093682;0.006470085;0.074771562;0.10844918;-0.161064706;-0.817321638;-0.37522;0.495238095
5;S;Alpha;0.194174053;0.154328011;0.076309673;0.202739001;0.220938726;0.115119445;0.222869942;0.317581493;0.376831432;0.192344307;0.032515695;0.020654189;-0.010235772;-0.017861842;0.092157895;0.195191083;0.183880174;0.218333333;0.103885781;0.169868853;-0.054058823;-0.246912281;-0.33222;-1.117142857
6;S;Alpha;0.167824021;0.017007984;0.069075157;0.006735272;-0.134679739;-0.145512963;-0.428819846;-0.399635121;-0.476403042;-0.455061729;-0.281428999;-0.371092692;-0.026571138;0.121686403;0.063171052;-0.012108281;0.067063181;0.086485043;0.1244662;-0.059357377;-0.068258824;0.425321637;0.30674;0.873190476
7;S;Alpha;0.250629416;0.124693945;0.257633264;0.310152125;0.293738562;0.147389815;-0.074144509;0.099955836;0.014282636;-0.130091907;-0.17693722;-0.20388057;0.061626016;-0.087168859;-0.092385965;-0.161828025;-0.069017429;-0.009467949;0.045655012;0.197157377;-0.0051;0.434304094;0.17266;-0.184142857
8;S;Alpha;0.020763648;-0.060021291;-0.058504523;-0.087343773;-0.044444444;0.046798148;-0.025439306;0.177762356;0.119357414;0.001532236;-0.026660688;-0.162475936;-0.203930894;-0.050416667;-0.137469298;-0.070804671;-0.12983878;-0.188448718;-0.101927739;-0.377793443;-0.336370588;-0.755590643;-0.74636;-0.494857143
9;S;Alpha;-0.256180475;-0.108997339;-0.179024356;-0.091191648;-0.115473856;-0.011358333;-0.022647399;-0.124084122;-0.026978454;-0.104758573;-0.158992526;-0.21844385;-0.155534553;-0.255442982;-0.16070614;-0.143;-0.072840959;0.076910256;0.0897669;0.170062295;0.103276471;0.247824562;0.4272;-0.160380952
