idGenerator;attVector;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168
1;MaxGeneration;664.10162;681.6649462;673.0980444;659.6282721;651.4781833;632.8583242;587.1776577;557.739168;563.4690406;541.5972725;489.7790485;455.0636944;451.3930389;460.9449394;492.906684;534.7904561;553.3025859;597.1925186;662.273899;693.3067122;694.9709218;676.838586;648.8947092;620.1608494;666.3135723;702.1371212;703.3303838;691.6935938;682.7593222;666.7906048;622.9274538;576.0391672;633.3546903;616.4468361;565.7307215;521.9540329;487.1610592;524.8728338;602.0061693;640.9371641;636.7339475;630.6115715;656.83571;689.7006815;690.2986915;678.9361849;606.1822869;628.6647744;665.8191396;713.6904915;727.4530567;712.0077723;707.9841045;700.3138057;666.8215385;643.800975;671.5238785;658.586382;579.164584;514.5502839;428.0310633;461.179161;524.255205;605.5895383;656.3744297;662.4520532;685.8361197;702.9436804;697.6985738;683.9340752;661.9341349;631.5349561;646.5159175;669.9814704;676.2356;673.2074217;673.2074217;685.363778;672.2652422;652.8438;679.8988073;692.7153263;662.8445566;654.0945246;630.7483012;635.8605449;657.5124489;656.8213525;642.4665774;630.458551;657.000616;661.645494;635.1235865;628.9973438;593.6836944;580.0849259;580.3970524;606.5234137;622.6346609;628.6852173;637.4518256;642.4632494;615.6021484;586.0589721;603.2433284;590.0111056;530.380053;503.1256246;490.2337047;472.4795148;482.5498723;507.2028876;527.0102092;578.1848467;665.0471275;708.4418035;702.9058373;695.671685;611.9566266;626.3956454;697.7692839;728.0143328;736.5105245;721.5886731;703.0657672;679.0176712;628.2092942;588.3388772;584.327919;526.9748381;443.4401526;376.9191172;333.9876549;357.7518008;449.1421342;588.0847835;638.9550279;663.9179511;692.3976851;721.8767753;731.003844;664.8336022;627.7306137;685.5402841;666.9428013;698.6098195;711.0307924;698.8821695;686.4631301;664.9730893;570.5217106;414.1052401;226.9001301;170.7693122;135.3277759;136.6353919;141.7951455;158.5325789;177.3046346;351.399894;539.5988454;600.3814508;635.0318948;671.0092882;682.4413957;656.9450874;654.3036125;651.0795945
2;MaxGeneration;44.52718818;42.98289264;41.09542031;38.35000601;35.00403233;30.88591088;29.68479212;27.19676041;22.56387378;20.84798984;19.1321059;16.04351482;14.07024829;13.04071793;13.04071793;13.46968891;13.12651212;13.38389471;12.26857015;10.46689202;7.292506735;4.890269222;4.289709844;3.603356269;2.917002694;2.831208497;2.7454143;2.402237513;1.201118756;0.257382591;0.085794197;0;0;0;0;0;0.085794197;0.171588394;0.600559378;2.573825906;5.662416994;8.579419688;9.437361657;9.780538444;8.665213885;8.579419688;9.952126838;10.38109782;3.86073886;2.831208497;1.715883938;1.115324559;0.857941969;0.772147772;0.600559378;0.772147772;0.857941969;1.715883938;4.11812145;8.236242901;11.41062819;16.81566259;24.53714031;31.22908766;32.25861803;31.48647026;36.80571046;41.1812145;41.1812145;42.38233326;44.26980559;46.32886632;49.07428062;48.38792704;46.7578373;43.32606942;36.89150466;28.56946756;24.6229345;21.9633144;15.35716124;13.46968891;15.87192642;15.52874964;13.04071793;12.52595274;15.35716124;17.93098715;18.87472331;21.79172601;27.28255461;34.57506134;41.1812145;48.21633865;55.50884538;62.02920434;65.11779543;65.20358963;64.51723605;63.65929409;67.00526776;70.17965305;75.75627585;79.61701471;77.21477719;73.95459771;70.52282984;73.78300932;79.18804372;80.30336828;84.67887232;87.9390518;87.33849242;84.42148973;84.59307812;85.45102009;85.10784331;85.96578527;86.90952144;87.9390518;88.71119957;89.56914154;89.56914154;89.48334735;89.56914154;89.99811253;91.02764289;91.37081968;90.16970092;83.56354776;78.67327854;74.1261861;69.06432849;71.3807718;77.81533657;88.79699377;91.02764289;90.42708351;88.45381698;84.16410714;76.61421781;64.51723605;55.42305118;55.59463958;67.26265035;67.09106196;66.66209098;66.57629678;66.14732579;65.54676642;63.65929409;56.70996414;44.012423;34.48926715;31.48647026;30.3711457;29.25582114;32.60179481;44.52718818;57.48211191;78.84486693;80.81813346;76.8716004;74.46936289;68.8927401;59.97014362;52.93501948;50.96175295
3;MaxGeneration;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902
4;MaxGeneration;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266
