idGenerator,attVector,1,2,3,4,5,6
1,MaxGeneration,600.387773,600.387773,600.387773,600.387773,600.387773,600.387773
2,MaxGeneration,41.23075044,41.23075044,41.23075044,41.23075044,41.23075044,41.23075044
3,MaxGeneration,71.19536417,71.19536417,71.19536417,71.19536417,71.19536417,71.19536417
4,MaxGeneration,52.11213244,52.11213244,52.11213244,52.11213244,52.11213244,52.11213244
